@RELATION substation_anonymized

@ATTRIBUTE Timestamp NUMERIC
@ATTRIBUTE Sub_ID NUMERIC
@ATTRIBUTE Deep_Node NUMERIC
@ATTRIBUTE Current_[A] NUMERIC
@ATTRIBUTE Battery_Temperature_[°C] NUMERIC
@ATTRIBUTE Ambient_Temperature_[°C] NUMERIC
@ATTRIBUTE KE_cntUp NUMERIC
@ATTRIBUTE KE_pTot NUMERIC
@ATTRIBUTE KE_qTot NUMERIC
@ATTRIBUTE loadGroups NUMERIC
@ATTRIBUTE serviceLocations NUMERIC
@ATTRIBUTE Embedding_Feature_0 NUMERIC
@ATTRIBUTE Embedding_Feature_1 NUMERIC
@ATTRIBUTE Embedding_Feature_2 NUMERIC
@ATTRIBUTE Embedding_Feature_3 NUMERIC
@ATTRIBUTE Embedding_Feature_4 NUMERIC
@ATTRIBUTE Embedding_Feature_5 NUMERIC
@ATTRIBUTE Embedding_Feature_6 NUMERIC
@ATTRIBUTE Embedding_Feature_7 NUMERIC
@ATTRIBUTE Embedding_Feature_8 NUMERIC
@ATTRIBUTE Embedding_Feature_9 NUMERIC
@ATTRIBUTE Embedding_Feature_10 NUMERIC
@ATTRIBUTE Embedding_Feature_11 NUMERIC
@ATTRIBUTE Embedding_Feature_12 NUMERIC
@ATTRIBUTE Embedding_Feature_13 NUMERIC
@ATTRIBUTE Embedding_Feature_14 NUMERIC
@ATTRIBUTE Embedding_Feature_15 NUMERIC
@ATTRIBUTE Target {0,1}

@DATA
4,12,0.0,0.2,22.45,12.57,160.0,41264.086,13944.176,73.0,33.0,-0.007899012,0.29295123,1.2062165,-1.0425597,-1.1801057,0.10967808,0.7243159,-0.5264828,-1.1898087,-1.2332132,-0.26587903,0.5082539,-0.20773509,0.3834684,-0.39331695,-0.420369,0
4,13,0.0,-0.4,18.47,13.52,5.0,1948.468,1341.7363,4.0,4.0,1.0187303,-1.4420602,1.0429447,-1.8666046,-1.4723775,0.8526696,3.1848817,0.5877797,-2.0029178,-0.9673132,-0.58609766,3.7895539,0.2655638,-0.23443218,0.9779938,-2.1180954,0
4,14,0.0,0.1,17.92,10.02,305.0,128644.11,173328.6,96.0,232.0,0.31462288,0.18555786,0.3084881,0.3808869,-1.3000596,-0.73369175,0.28219098,-0.13838917,-1.1592302,0.15341763,-0.9324083,-0.5049364,-0.08551753,0.06405175,1.0834882,0.099497475,0
4,15,1.0,-0.1,18.0,13.22,0.0,0.0,0.0,0.0,0.0,-0.007085195,-0.022138417,0.0100246705,-0.019851934,0.011445966,-0.029612137,-0.0035584439,0.0092398785,-0.029446566,0.005919762,0.02744073,0.024899572,-0.017218594,-0.018519111,-0.008502154,-0.015892506,0
4,16,1.0,0.3,13.08,6.0,0.0,0.0,0.0,0.0,0.0,0.007829361,0.026127413,-0.017423008,0.017956577,0.0012604035,-0.011281302,-0.015820308,0.00016423687,0.02125191,0.008802041,0.0041817017,0.007538311,0.020441074,0.007080268,-0.0009349901,-0.029919228,0
4,17,0.0,0.3,17.9,11.75,8.0,137543.4,68158.75,6.0,7.0,0.6464574,-0.43227148,-0.41864273,-0.39632794,-2.4560974,1.1343156,1.8617986,-1.6503671,-0.43691728,-0.38603115,-1.2937064,2.1367476,-0.051525105,0.9894488,-0.1311952,-0.7928492,0
4,18,0.0,0.2,14.2,8.25,15.0,46354.17,46046.78,2.0,5.0,2.4328136,-0.33867526,2.2294188,-1.4093935,-0.92541313,2.8225133,2.855401,0.35303205,-3.0420992,0.7242014,0.27382085,1.0079381,-2.4757168,-0.030844813,3.598189,-3.597606,0
4,19,1.0,-0.1,16.75,7.5,0.0,0.0,0.0,0.0,0.0,0.0070473067,0.0061869062,-0.012605794,-0.01939058,0.0039346293,-0.0021732748,-0.020079356,-0.02898543,-0.022115933,0.023578558,0.029358257,-0.02240216,0.0038825944,0.029159356,-0.0057899226,-0.0009633694,0
2,1,0.0,0.2,19.5,11.95,286.0,74560.37,28438.32,119.0,53.0,0.08840245,0.8870583,0.28005925,-0.05482294,-1.5504915,0.600788,-0.6635441,-0.41791505,-0.99336183,-1.6667846,-1.0014794,0.53170377,0.13185337,0.19973329,0.61477625,-0.83422124,0
2,2,0.0,-0.3,24.1,16.33,36.0,24106.729,25361.455,30.0,9.0,-0.09589167,-0.9488562,1.2967874,-0.57094234,-2.6718142,-0.061984304,0.9917287,-0.8211324,-1.7280502,-1.0211097,-1.6345454,1.7804049,0.24252895,-1.2945287,-0.7004401,-1.2007022,0
2,3,0.0,0.2,23.55,16.4,186.0,59402.297,21736.8,92.0,21.0,0.022566933,0.3262735,0.45176786,-0.58527243,-0.73608184,-0.38938478,-0.7447779,-0.7272641,-1.478958,-1.3252777,-0.93456936,1.1281201,-0.51844454,0.96837354,0.13565715,-1.059515,0
2,4,0.0,-0.1,20.62,11.72,213.0,101281.66,34144.543,90.0,22.0,1.6581734,1.0533807,0.32966164,-0.9037853,-2.4585912,-0.3004052,0.7772349,0.4848754,-1.5077851,-0.687111,0.47850862,1.6513021,-0.4467481,-0.21329838,0.016783865,0.27086112,0
2,5,0.0,0.2,24.47,18.8,109.0,54569.984,43085.74,73.0,18.0,1.3398416,0.614616,1.2794844,-0.9471341,-0.9928307,2.0608213,0.40075767,0.0065785404,-1.3678128,-0.7539152,-0.37384272,0.63690203,0.53143203,0.06661966,0.33719748,-0.4644782,0
2,6,0.0,0.2,17.53,13.4,249.0,68148.89,54018.61,93.0,29.0,1.2745603,0.33033693,1.0105458,-0.91695845,-1.4749528,0.7548158,-0.4255161,-0.8228635,-1.4587438,-0.6735281,0.2207938,0.7488596,-0.8854159,-0.49535933,0.16010061,-0.75089175,0
2,7,0.0,0.5,22.5,24.6,110.0,54270.023,34563.883,66.0,19.0,1.4709591,0.4674048,1.205925,-0.1815542,-1.4065262,0.74424636,0.22322118,0.37378755,-2.245708,-0.807289,0.05846061,1.1692896,1.0525204,1.4228109,-0.5866193,0.99658656,0
2,8,0.0,0.2,19.5,12.55,10.0,5384.5786,2595.6843,10.0,7.0,-0.3091123,-1.0112553,0.239263,-0.89964294,-2.0218155,0.54333997,0.81323713,-1.0585134,-1.4762948,0.24665824,-1.5726058,1.5456997,0.52163,0.5915112,-0.1994291,-0.9724134,0
2,9,0.0,-0.2,15.75,8.8,53.0,24514.613,13229.16,38.0,5.0,2.0747113,2.9472537,3.0463827,-0.8996583,-1.9537073,-0.92697525,0.43980515,-2.5564957,-1.6203622,-0.19679822,0.7759768,3.1893568,-0.27407315,1.334818,0.004046549,-2.501471,0
2,10,0.0,0.3,15.5,7.88,72.0,28785.854,24967.166,39.0,37.0,-0.032375615,0.41052327,0.6216457,-0.6995158,-0.21105011,0.52371293,0.09326154,-0.09515705,-2.1166983,-0.3845508,-1.2668073,1.1197174,-0.08193627,-0.18298097,1.0672561,0.19226593,0
2,11,1.0,-0.2,11.5,7.5,0.0,0.0,0.0,0.0,0.0,-0.015987525,0.00426805,0.016978469,0.025944289,0.008719072,0.015110169,0.018235423,0.029712144,0.011612441,0.023361053,-0.019118361,-0.016066022,-0.009373864,0.002659548,-0.003826918,0.02539137,0
2,12,0.0,0.2,22.45,12.57,160.0,41264.086,13944.176,73.0,33.0,-0.007899012,0.29295123,1.2062165,-1.0425597,-1.1801057,0.10967808,0.7243159,-0.5264828,-1.1898087,-1.2332132,-0.26587903,0.5082539,-0.20773509,0.3834684,-0.39331695,-0.420369,0
2,13,0.0,-0.4,18.47,13.52,5.0,1948.468,1341.7363,4.0,4.0,1.0187303,-1.4420602,1.0429447,-1.8666046,-1.4723775,0.8526696,3.1848817,0.5877797,-2.0029178,-0.9673132,-0.58609766,3.7895539,0.2655638,-0.23443218,0.9779938,-2.1180954,0
2,14,0.0,-0.1,17.92,10.02,305.0,128644.11,173328.6,96.0,232.0,0.31462288,0.18555786,0.3084881,0.3808869,-1.3000596,-0.73369175,0.28219098,-0.13838917,-1.1592302,0.15341763,-0.9324083,-0.5049364,-0.08551753,0.06405175,1.0834882,0.099497475,0
2,15,1.0,0.1,18.0,13.22,0.0,0.0,0.0,0.0,0.0,-0.007085195,-0.022138417,0.0100246705,-0.019851934,0.011445966,-0.029612137,-0.0035584439,0.0092398785,-0.029446566,0.005919762,0.02744073,0.024899572,-0.017218594,-0.018519111,-0.008502154,-0.015892506,0
2,16,1.0,-0.2,13.08,6.0,0.0,0.0,0.0,0.0,0.0,0.007829361,0.026127413,-0.017423008,0.017956577,0.0012604035,-0.011281302,-0.015820308,0.00016423687,0.02125191,0.008802041,0.0041817017,0.007538311,0.020441074,0.007080268,-0.0009349901,-0.029919228,0
2,17,0.0,0.2,17.9,11.75,8.0,137543.4,68158.75,6.0,7.0,0.6464574,-0.43227148,-0.41864273,-0.39632794,-2.4560974,1.1343156,1.8617986,-1.6503671,-0.43691728,-0.38603115,-1.2937064,2.1367476,-0.051525105,0.9894488,-0.1311952,-0.7928492,0
2,18,0.0,0.2,14.2,8.25,15.0,46354.17,46046.78,2.0,5.0,2.4328136,-0.33867526,2.2294188,-1.4093935,-0.92541313,2.8225133,2.855401,0.35303205,-3.0420992,0.7242014,0.27382085,1.0079381,-2.4757168,-0.030844813,3.598189,-3.597606,0
2,19,1.0,-0.1,16.75,7.5,0.0,0.0,0.0,0.0,0.0,0.0070473067,0.0061869062,-0.012605794,-0.01939058,0.0039346293,-0.0021732748,-0.020079356,-0.02898543,-0.022115933,0.023578558,0.029358257,-0.02240216,0.0038825944,0.029159356,-0.0057899226,-0.0009633694,0
3,1,0.0,0.2,19.5,11.95,286.0,74560.37,28438.32,119.0,53.0,0.08840245,0.8870583,0.28005925,-0.05482294,-1.5504915,0.600788,-0.6635441,-0.41791505,-0.99336183,-1.6667846,-1.0014794,0.53170377,0.13185337,0.19973329,0.61477625,-0.83422124,0
3,2,0.0,-0.3,24.1,16.33,36.0,24106.729,25361.455,30.0,9.0,-0.09589167,-0.9488562,1.2967874,-0.57094234,-2.6718142,-0.061984304,0.9917287,-0.8211324,-1.7280502,-1.0211097,-1.6345454,1.7804049,0.24252895,-1.2945287,-0.7004401,-1.2007022,0
3,3,0.0,0.2,23.55,16.4,186.0,59402.297,21736.8,92.0,21.0,0.022566933,0.3262735,0.45176786,-0.58527243,-0.73608184,-0.38938478,-0.7447779,-0.7272641,-1.478958,-1.3252777,-0.93456936,1.1281201,-0.51844454,0.96837354,0.13565715,-1.059515,0
3,4,0.0,0.1,20.62,11.72,213.0,101281.66,34144.543,90.0,22.0,1.6581734,1.0533807,0.32966164,-0.9037853,-2.4585912,-0.3004052,0.7772349,0.4848754,-1.5077851,-0.687111,0.47850862,1.6513021,-0.4467481,-0.21329838,0.016783865,0.27086112,0
3,5,0.0,0.2,24.47,18.8,109.0,54569.984,43085.74,73.0,18.0,1.3398416,0.614616,1.2794844,-0.9471341,-0.9928307,2.0608213,0.40075767,0.0065785404,-1.3678128,-0.7539152,-0.37384272,0.63690203,0.53143203,0.06661966,0.33719748,-0.4644782,0
3,6,0.0,0.2,17.53,13.4,249.0,68148.89,54018.61,93.0,29.0,1.2745603,0.33033693,1.0105458,-0.91695845,-1.4749528,0.7548158,-0.4255161,-0.8228635,-1.4587438,-0.6735281,0.2207938,0.7488596,-0.8854159,-0.49535933,0.16010061,-0.75089175,0
3,7,0.0,0.4,22.5,24.6,110.0,54270.023,34563.883,66.0,19.0,1.4709591,0.4674048,1.205925,-0.1815542,-1.4065262,0.74424636,0.22322118,0.37378755,-2.245708,-0.807289,0.05846061,1.1692896,1.0525204,1.4228109,-0.5866193,0.99658656,0
3,8,0.0,0.2,19.5,12.55,10.0,5384.5786,2595.6843,10.0,7.0,-0.3091123,-1.0112553,0.239263,-0.89964294,-2.0218155,0.54333997,0.81323713,-1.0585134,-1.4762948,0.24665824,-1.5726058,1.5456997,0.52163,0.5915112,-0.1994291,-0.9724134,0
3,9,0.0,-0.2,15.75,8.8,53.0,24514.613,13229.16,38.0,5.0,2.0747113,2.9472537,3.0463827,-0.8996583,-1.9537073,-0.92697525,0.43980515,-2.5564957,-1.6203622,-0.19679822,0.7759768,3.1893568,-0.27407315,1.334818,0.004046549,-2.501471,0
3,10,0.0,0.5,15.5,7.88,44.0,21833.26,21763.105,30.0,21.0,-0.03504497,0.39526814,0.6375765,-0.72400486,-0.20004776,0.59329,0.10905153,-0.12744372,-2.141852,-0.32484245,-1.282993,1.1671336,0.010286383,-0.1694861,1.0689982,0.15918602,1
3,11,1.0,-0.2,11.5,7.5,0.0,0.0,0.0,0.0,0.0,-0.015987525,0.00426805,0.016978469,0.025944289,0.008719072,0.015110169,0.018235423,0.029712144,0.011612441,0.023361053,-0.019118361,-0.016066022,-0.009373864,0.002659548,-0.003826918,0.02539137,0
3,12,0.0,0.2,22.45,12.57,160.0,41264.086,13944.176,73.0,33.0,-0.007899012,0.29295123,1.2062165,-1.0425597,-1.1801057,0.10967808,0.7243159,-0.5264828,-1.1898087,-1.2332132,-0.26587903,0.5082539,-0.20773509,0.3834684,-0.39331695,-0.420369,0
3,13,0.0,-0.4,18.47,13.52,5.0,1948.468,1341.7363,4.0,4.0,1.0187303,-1.4420602,1.0429447,-1.8666046,-1.4723775,0.8526696,3.1848817,0.5877797,-2.0029178,-0.9673132,-0.58609766,3.7895539,0.2655638,-0.23443218,0.9779938,-2.1180954,0
3,14,0.0,-0.1,17.92,10.02,305.0,128644.11,173328.6,96.0,232.0,0.31462288,0.18555786,0.3084881,0.3808869,-1.3000596,-0.73369175,0.28219098,-0.13838917,-1.1592302,0.15341763,-0.9324083,-0.5049364,-0.08551753,0.06405175,1.0834882,0.099497475,0
3,15,1.0,0.1,18.0,13.22,0.0,0.0,0.0,0.0,0.0,-0.007085195,-0.022138417,0.0100246705,-0.019851934,0.011445966,-0.029612137,-0.0035584439,0.0092398785,-0.029446566,0.005919762,0.02744073,0.024899572,-0.017218594,-0.018519111,-0.008502154,-0.015892506,0
3,16,1.0,0.3,13.08,6.0,0.0,0.0,0.0,0.0,0.0,0.007829361,0.026127413,-0.017423008,0.017956577,0.0012604035,-0.011281302,-0.015820308,0.00016423687,0.02125191,0.008802041,0.0041817017,0.007538311,0.020441074,0.007080268,-0.0009349901,-0.029919228,0
3,17,0.0,0.3,17.9,11.75,8.0,137543.4,68158.75,6.0,7.0,0.6464574,-0.43227148,-0.41864273,-0.39632794,-2.4560974,1.1343156,1.8617986,-1.6503671,-0.43691728,-0.38603115,-1.2937064,2.1367476,-0.051525105,0.9894488,-0.1311952,-0.7928492,0
3,18,0.0,0.2,14.2,8.25,15.0,46354.17,46046.78,2.0,5.0,2.4328136,-0.33867526,2.2294188,-1.4093935,-0.92541313,2.8225133,2.855401,0.35303205,-3.0420992,0.7242014,0.27382085,1.0079381,-2.4757168,-0.030844813,3.598189,-3.597606,0
3,19,1.0,-0.1,16.75,7.5,0.0,0.0,0.0,0.0,0.0,0.0070473067,0.0061869062,-0.012605794,-0.01939058,0.0039346293,-0.0021732748,-0.020079356,-0.02898543,-0.022115933,0.023578558,0.029358257,-0.02240216,0.0038825944,0.029159356,-0.0057899226,-0.0009633694,0
5,1,0.0,0.3,18.87,11.2,176.0,47471.46,18137.252,89.0,28.0,0.07057931,0.92875516,0.2753592,-0.06971558,-1.5786675,0.598009,-0.6355523,-0.42104182,-1.0377542,-1.6640201,-0.9603134,0.5396224,0.12113894,0.20867805,0.55664635,-0.79442203,1
5,2,0.0,-0.3,24.1,16.3,36.0,24106.729,25361.455,30.0,9.0,-0.09589167,-0.9488562,1.2967874,-0.57094234,-2.6718142,-0.061984304,0.9917287,-0.8211324,-1.7280502,-1.0211097,-1.6345454,1.7804049,0.24252895,-1.2945287,-0.7004401,-1.2007022,0
5,3,0.0,0.2,23.5,16.12,186.0,59402.297,21736.8,92.0,21.0,0.022566933,0.3262735,0.45176786,-0.58527243,-0.73608184,-0.38938478,-0.7447779,-0.7272641,-1.478958,-1.3252777,-0.93456936,1.1281201,-0.51844454,0.96837354,0.13565715,-1.059515,0
5,4,0.0,-0.2,20.02,11.0,213.0,101281.66,34144.543,90.0,22.0,1.6581734,1.0533807,0.32966164,-0.9037853,-2.4585912,-0.3004052,0.7772349,0.4848754,-1.5077851,-0.687111,0.47850862,1.6513021,-0.4467481,-0.21329838,0.016783865,0.27086112,0
