@RELATION substation_anonymized

@ATTRIBUTE Timestamp NUMERIC
@ATTRIBUTE Sub_ID NUMERIC
@ATTRIBUTE Deep_Node NUMERIC
@ATTRIBUTE Current_[A] NUMERIC
@ATTRIBUTE Battery_Temperature_[°C] NUMERIC
@ATTRIBUTE Ambient_Temperature_[°C] NUMERIC
@ATTRIBUTE KE_cntUp NUMERIC
@ATTRIBUTE KE_pTot NUMERIC
@ATTRIBUTE KE_qTot NUMERIC
@ATTRIBUTE loadGroups NUMERIC
@ATTRIBUTE serviceLocations NUMERIC
@ATTRIBUTE Embedding_Feature_0 NUMERIC
@ATTRIBUTE Embedding_Feature_1 NUMERIC
@ATTRIBUTE Embedding_Feature_2 NUMERIC
@ATTRIBUTE Embedding_Feature_3 NUMERIC
@ATTRIBUTE Embedding_Feature_4 NUMERIC
@ATTRIBUTE Embedding_Feature_5 NUMERIC
@ATTRIBUTE Embedding_Feature_6 NUMERIC
@ATTRIBUTE Embedding_Feature_7 NUMERIC
@ATTRIBUTE Target {0,1}

@DATA
4,12,0.0,0.2,22.45,12.57,160.0,41264.086,13944.176,73.0,33.0,1.5944453,0.6834074,0.5101115,-1.0808678,-0.8044021,-1.6703856,-1.8101318,0.19912994,0
4,13,0.0,-0.4,18.47,13.52,5.0,1948.468,1341.7363,4.0,4.0,4.735946,-2.2837157,0.90759426,-1.4763541,-0.10237381,-3.3004618,-2.0392745,-1.8398082,0
4,14,0.0,0.1,17.92,10.02,305.0,128644.11,173328.6,96.0,232.0,1.167993,1.6505563,-0.54172957,0.44244334,-0.35166702,0.043514468,-1.1653963,-0.497519,0
4,15,1.0,-0.1,18.0,13.22,0.0,0.0,0.0,0.0,0.0,-0.013484098,0.06013254,-0.023213621,0.056399003,-0.03903845,0.0406444,-0.021192506,0.038635284,0
4,16,1.0,0.3,13.08,6.0,0.0,0.0,0.0,0.0,0.0,-0.00016035512,-0.04674551,-0.03502579,-0.028491769,0.01838138,-0.05253903,-0.017866388,-0.025471207,0
4,17,0.0,0.3,17.9,11.75,8.0,137543.4,68158.75,6.0,7.0,1.4801586,-0.40558213,1.225356,-1.7104282,-1.5750303,-0.8066337,-1.7273129,-1.357722,0
4,18,0.0,0.2,14.2,8.25,15.0,46354.17,46046.78,2.0,5.0,6.5857797,-1.9768142,1.927034,-0.6741518,1.3580813,-2.318666,-2.3106112,-5.001249,0
4,19,1.0,-0.1,16.75,7.5,0.0,0.0,0.0,0.0,0.0,-0.008890923,0.0004082322,0.05214803,0.00811024,0.039215133,0.06205325,-0.02439091,-0.040662616,0
2,1,0.0,0.2,19.5,11.95,286.0,74560.37,28438.32,119.0,53.0,0.7078305,0.12739058,-0.3911176,0.15509334,-2.7174554,-1.5459418,-2.125738,0.010379666,0
2,2,0.0,-0.3,24.1,16.33,36.0,24106.729,25361.455,30.0,9.0,2.4655383,-0.31482694,-0.17801954,-0.8357928,-3.4267185,-1.3957831,0.31167322,-1.4310346,0
2,3,0.0,0.2,23.55,16.4,186.0,59402.297,21736.8,92.0,21.0,0.88481796,-0.47055674,-0.42255637,0.541391,-1.8181373,-2.3376684,-2.2954626,-0.2825271,0
2,4,0.0,-0.1,20.62,11.72,213.0,101281.66,34144.543,90.0,22.0,1.8676564,-0.57087755,-0.8268461,-1.9792149,-1.3195193,-0.49191794,-2.0005722,-1.2426443,0
2,5,0.0,0.2,24.47,18.8,109.0,54569.984,43085.74,73.0,18.0,2.0846436,0.22227696,1.0219029,-0.32110438,-1.5542724,-3.094236,-0.9408973,-1.6209549,0
2,6,0.0,0.2,17.53,13.4,249.0,68148.89,54018.61,93.0,29.0,1.7312322,0.6378086,2.2514195,-0.4103266,-1.1205146,-2.3951375,-1.5431948,-0.27062336,0
2,7,0.0,0.5,22.5,24.6,110.0,54270.023,34563.883,66.0,19.0,3.2400043,-0.5921731,0.16832836,-2.1237504,-1.2135476,-1.7604442,-0.9895286,0.33831015,0
2,8,0.0,0.2,19.5,12.55,10.0,5384.5786,2595.6843,10.0,7.0,2.672791,-0.038730644,-0.97727144,-0.89318097,-2.2228727,-1.6506895,0.18070818,-1.7845902,0
2,9,0.0,-0.2,15.75,8.8,53.0,24514.613,13229.16,38.0,5.0,2.2662942,2.3133729,3.6900682,2.2184877,-4.125379,-4.3211565,-3.4298935,0.8188575,0
2,10,0.0,0.3,15.5,7.88,72.0,28785.854,24967.166,39.0,37.0,2.1582363,0.27409527,-0.7001432,-0.2938783,-0.2200124,-2.240301,-1.3500782,-0.44940454,0
2,11,1.0,-0.2,11.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0071714744,0.021559477,-0.028490141,0.003330484,0.01662647,-0.0448085,-0.038938582,-0.027405363,0
2,12,0.0,0.2,22.45,12.57,160.0,41264.086,13944.176,73.0,33.0,1.5944453,0.6834074,0.5101115,-1.0808678,-0.8044021,-1.6703856,-1.8101318,0.19912994,0
2,13,0.0,-0.4,18.47,13.52,5.0,1948.468,1341.7363,4.0,4.0,4.735946,-2.2837157,0.90759426,-1.4763541,-0.10237381,-3.3004618,-2.0392745,-1.8398082,0
2,14,0.0,-0.1,17.92,10.02,305.0,128644.11,173328.6,96.0,232.0,1.167993,1.6505563,-0.54172957,0.44244334,-0.35166702,0.043514468,-1.1653963,-0.497519,0
2,15,1.0,0.1,18.0,13.22,0.0,0.0,0.0,0.0,0.0,-0.013484098,0.06013254,-0.023213621,0.056399003,-0.03903845,0.0406444,-0.021192506,0.038635284,0
2,16,1.0,-0.2,13.08,6.0,0.0,0.0,0.0,0.0,0.0,-0.00016035512,-0.04674551,-0.03502579,-0.028491769,0.01838138,-0.05253903,-0.017866388,-0.025471207,0
2,17,0.0,0.2,17.9,11.75,8.0,137543.4,68158.75,6.0,7.0,1.4801586,-0.40558213,1.225356,-1.7104282,-1.5750303,-0.8066337,-1.7273129,-1.357722,0
2,18,0.0,0.2,14.2,8.25,15.0,46354.17,46046.78,2.0,5.0,6.5857797,-1.9768142,1.927034,-0.6741518,1.3580813,-2.318666,-2.3106112,-5.001249,0
2,19,1.0,-0.1,16.75,7.5,0.0,0.0,0.0,0.0,0.0,-0.008890923,0.0004082322,0.05214803,0.00811024,0.039215133,0.06205325,-0.02439091,-0.040662616,0
3,1,0.0,0.2,19.5,11.95,286.0,74560.37,28438.32,119.0,53.0,0.7078305,0.12739058,-0.3911176,0.15509334,-2.7174554,-1.5459418,-2.125738,0.010379666,0
3,2,0.0,-0.3,24.1,16.33,36.0,24106.729,25361.455,30.0,9.0,2.4655383,-0.31482694,-0.17801954,-0.8357928,-3.4267185,-1.3957831,0.31167322,-1.4310346,0
3,3,0.0,0.2,23.55,16.4,186.0,59402.297,21736.8,92.0,21.0,0.88481796,-0.47055674,-0.42255637,0.541391,-1.8181373,-2.3376684,-2.2954626,-0.2825271,0
3,4,0.0,0.1,20.62,11.72,213.0,101281.66,34144.543,90.0,22.0,1.8676564,-0.57087755,-0.8268461,-1.9792149,-1.3195193,-0.49191794,-2.0005722,-1.2426443,0
3,5,0.0,0.2,24.47,18.8,109.0,54569.984,43085.74,73.0,18.0,2.0846436,0.22227696,1.0219029,-0.32110438,-1.5542724,-3.094236,-0.9408973,-1.6209549,0
3,6,0.0,0.2,17.53,13.4,249.0,68148.89,54018.61,93.0,29.0,1.7312322,0.6378086,2.2514195,-0.4103266,-1.1205146,-2.3951375,-1.5431948,-0.27062336,0
3,7,0.0,0.4,22.5,24.6,110.0,54270.023,34563.883,66.0,19.0,3.2400043,-0.5921731,0.16832836,-2.1237504,-1.2135476,-1.7604442,-0.9895286,0.33831015,0
3,8,0.0,0.2,19.5,12.55,10.0,5384.5786,2595.6843,10.0,7.0,2.672791,-0.038730644,-0.97727144,-0.89318097,-2.2228727,-1.6506895,0.18070818,-1.7845902,0
3,9,0.0,-0.2,15.75,8.8,53.0,24514.613,13229.16,38.0,5.0,2.2662942,2.3133729,3.6900682,2.2184877,-4.125379,-4.3211565,-3.4298935,0.8188575,0
3,10,0.0,0.5,15.5,7.88,44.0,21833.26,21763.105,30.0,21.0,2.1817522,0.26007697,-0.71805626,-0.32789537,-0.23760025,-2.2565563,-1.3619677,-0.4450381,1
3,11,1.0,-0.2,11.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0071714744,0.021559477,-0.028490141,0.003330484,0.01662647,-0.0448085,-0.038938582,-0.027405363,0
3,12,0.0,0.2,22.45,12.57,160.0,41264.086,13944.176,73.0,33.0,1.5944453,0.6834074,0.5101115,-1.0808678,-0.8044021,-1.6703856,-1.8101318,0.19912994,0
3,13,0.0,-0.4,18.47,13.52,5.0,1948.468,1341.7363,4.0,4.0,4.735946,-2.2837157,0.90759426,-1.4763541,-0.10237381,-3.3004618,-2.0392745,-1.8398082,0
3,14,0.0,-0.1,17.92,10.02,305.0,128644.11,173328.6,96.0,232.0,1.167993,1.6505563,-0.54172957,0.44244334,-0.35166702,0.043514468,-1.1653963,-0.497519,0
3,15,1.0,0.1,18.0,13.22,0.0,0.0,0.0,0.0,0.0,-0.013484098,0.06013254,-0.023213621,0.056399003,-0.03903845,0.0406444,-0.021192506,0.038635284,0
3,16,1.0,0.3,13.08,6.0,0.0,0.0,0.0,0.0,0.0,-0.00016035512,-0.04674551,-0.03502579,-0.028491769,0.01838138,-0.05253903,-0.017866388,-0.025471207,0
3,17,0.0,0.3,17.9,11.75,8.0,137543.4,68158.75,6.0,7.0,1.4801586,-0.40558213,1.225356,-1.7104282,-1.5750303,-0.8066337,-1.7273129,-1.357722,0
3,18,0.0,0.2,14.2,8.25,15.0,46354.17,46046.78,2.0,5.0,6.5857797,-1.9768142,1.927034,-0.6741518,1.3580813,-2.318666,-2.3106112,-5.001249,0
3,19,1.0,-0.1,16.75,7.5,0.0,0.0,0.0,0.0,0.0,-0.008890923,0.0004082322,0.05214803,0.00811024,0.039215133,0.06205325,-0.02439091,-0.040662616,0
5,1,0.0,0.3,18.87,11.2,176.0,47471.46,18137.252,89.0,28.0,0.7088693,0.15890823,-0.39300355,0.15772268,-2.7095954,-1.5369817,-2.1227021,2.9654795e-05,1
5,2,0.0,-0.3,24.1,16.3,36.0,24106.729,25361.455,30.0,9.0,2.4655383,-0.31482694,-0.17801954,-0.8357928,-3.4267185,-1.3957831,0.31167322,-1.4310346,0
5,3,0.0,0.2,23.5,16.12,186.0,59402.297,21736.8,92.0,21.0,0.88481796,-0.47055674,-0.42255637,0.541391,-1.8181373,-2.3376684,-2.2954626,-0.2825271,0
5,4,0.0,-0.2,20.02,11.0,213.0,101281.66,34144.543,90.0,22.0,1.8676564,-0.57087755,-0.8268461,-1.9792149,-1.3195193,-0.49191794,-2.0005722,-1.2426443,0
5,5,0.0,0.2,24.02,18.4,109.0,54569.984,43085.74,73.0,18.0,2.0846436,0.22227696,1.0219029,-0.32110438,-1.5542724,-3.094236,-0.9408973,-1.6209549,0
5,6,0.0,0.2,17.53,13.4,249.0,68148.89,54018.61,93.0,29.0,1.7312322,0.6378086,2.2514195,-0.4103266,-1.1205146,-2.3951375,-1.5431948,-0.27062336,0
5,7,0.0,0.4,22.5,24.6,110.0,54270.023,34563.883,66.0,19.0,3.2400043,-0.5921731,0.16832836,-2.1237504,-1.2135476,-1.7604442,-0.9895286,0.33831015,0
5,8,0.0,0.2,19.5,11.98,10.0,5384.5786,2595.6843,10.0,7.0,2.672791,-0.038730644,-0.97727144,-0.89318097,-2.2228727,-1.6506895,0.18070818,-1.7845902,0
5,9,0.0,-0.2,15.93,8.35,53.0,24514.613,13229.16,38.0,5.0,2.2662942,2.3133729,3.6900682,2.2184877,-4.125379,-4.3211565,-3.4298935,0.8188575,0
5,10,0.0,0.2,14.5,7.33,72.0,28785.854,24967.166,39.0,37.0,2.1582363,0.27409527,-0.7001432,-0.2938783,-0.2200124,-2.240301,-1.3500782,-0.44940454,0
5,11,1.0,-0.2,11.5,7.1,0.0,0.0,0.0,0.0,0.0,0.0071714744,0.021559477,-0.028490141,0.003330484,0.01662647,-0.0448085,-0.038938582,-0.027405363,0
5,12,0.0,0.2,21.3,11.93,160.0,41264.086,13944.176,73.0,33.0,1.5944453,0.6834074,0.5101115,-1.0808678,-0.8044021,-1.6703856,-1.8101318,0.19912994,0
5,13,0.0,-0.4,18.03,12.57,5.0,1948.468,1341.7363,4.0,4.0,4.735946,-2.2837157,0.90759426,-1.4763541,-0.10237381,-3.3004618,-2.0392745,-1.8398082,0
5,14,0.0,0.2,17.32,10.1,305.0,128644.11,173328.6,96.0,232.0,1.167993,1.6505563,-0.54172957,0.44244334,-0.35166702,0.043514468,-1.1653963,-0.497519,0
5,15,1.0,0.2,18.18,13.28,0.0,0.0,0.0,0.0,0.0,-0.013484098,0.06013254,-0.023213621,0.056399003,-0.03903845,0.0406444,-0.021192506,0.038635284,0
5,16,1.0,-0.2,13.5,6.65,0.0,0.0,0.0,0.0,0.0,-0.00016035512,-0.04674551,-0.03502579,-0.028491769,0.01838138,-0.05253903,-0.017866388,-0.025471207,0
5,17,0.0,0.3,16.45,10.33,8.0,137543.4,68158.75,6.0,7.0,1.4801586,-0.40558213,1.225356,-1.7104282,-1.5750303,-0.8066337,-1.7273129,-1.357722,0
5,18,0.0,0.4,14.1,8.15,0.0,0.0,0.0,0.0,0.0,6.630814,-1.9776542,1.9168072,-0.7121264,1.3906782,-2.3763766,-2.3346014,-5.0114365,1
5,19,1.0,0.2,16.38,6.98,0.0,0.0,0.0,0.0,0.0,-0.008890923,0.0004082322,0.05214803,0.00811024,0.039215133,0.06205325,-0.02439091,-0.040662616,0
8,1,0.0,0.3,18.87,11.2,188.0,46748.598,17484.998,94.0,33.0,0.69288296,0.14650813,-0.37713212,0.17005585,-2.6860723,-1.5580816,-2.1001213,0.001134278,0
8,2,0.0,0.5,24.1,16.3,29.0,20136.924,21613.613,26.0,8.0,2.435657,-0.3031702,-0.19983758,-0.80582744,-3.423236,-1.4363157,0.2956351,-1.3660809,0
8,3,0.0,0.2,23.5,16.12,186.0,59402.297,21736.8,92.0,21.0,0.88481796,-0.47055674,-0.42255637,0.541391,-1.8181373,-2.3376684,-2.2954626,-0.2825271,0
8,4,0.0,0.1,20.02,11.0,213.0,101281.66,34144.543,90.0,22.0,1.8676564,-0.57087755,-0.8268461,-1.9792149,-1.3195193,-0.49191794,-2.0005722,-1.2426443,0
8,5,0.0,0.5,24.02,18.4,68.0,31661.37,12554.523,52.0,14.0,2.0890193,0.19407499,1.0352484,-0.3120035,-1.5431983,-3.1060874,-0.9493845,-1.6079493,1
8,6,0.0,0.2,17.53,13.4,249.0,68148.89,54018.61,93.0,29.0,1.7312322,0.6378086,2.2514195,-0.4103266,-1.1205146,-2.3951375,-1.5431948,-0.27062336,0
8,7,0.0,0.3,22.5,24.6,110.0,54270.023,34563.883,66.0,19.0,3.2400043,-0.5921731,0.16832836,-2.1237504,-1.2135476,-1.7604442,-0.9895286,0.33831015,0
8,8,0.0,1.1,19.5,11.98,7.0,3809.4236,1354.2866,7.0,4.0,2.702702,-0.018247895,-0.9950646,-0.89551425,-2.193764,-1.6451801,0.18534972,-1.7736145,1
8,9,0.0,1.0,15.93,8.35,53.0,24514.613,13229.16,38.0,5.0,2.2997282,2.2777014,3.6518276,2.241566,-4.120572,-4.347944,-3.362516,0.8694157,0
8,10,0.0,0.2,14.5,7.33,72.0,28785.854,24967.166,39.0,37.0,2.1582363,0.27409527,-0.7001432,-0.2938783,-0.2200124,-2.240301,-1.3500782,-0.44940454,0
8,11,1.0,-0.2,11.5,7.1,0.0,0.0,0.0,0.0,0.0,0.0071714744,0.021559477,-0.028490141,0.003330484,0.01662647,-0.0448085,-0.038938582,-0.027405363,0
8,12,0.0,0.3,21.3,11.93,160.0,41264.086,13944.176,73.0,33.0,1.5944453,0.6834074,0.5101115,-1.0808678,-0.8044021,-1.6703856,-1.8101318,0.19912994,0
8,13,0.0,0.2,18.03,12.57,5.0,1948.468,1341.7363,4.0,4.0,4.735946,-2.2837157,0.90759426,-1.4763541,-0.10237381,-3.3004618,-2.0392745,-1.8398082,0
8,14,0.0,-0.1,17.32,10.1,305.0,128644.11,173328.6,96.0,232.0,1.167993,1.6505563,-0.54172957,0.44244334,-0.35166702,0.043514468,-1.1653963,-0.497519,0
8,15,1.0,0.2,18.18,13.28,0.0,0.0,0.0,0.0,0.0,-0.013484098,0.06013254,-0.023213621,0.056399003,-0.03903845,0.0406444,-0.021192506,0.038635284,0
8,16,1.0,0.3,13.5,6.65,0.0,0.0,0.0,0.0,0.0,-0.00016035512,-0.04674551,-0.03502579,-0.028491769,0.01838138,-0.05253903,-0.017866388,-0.025471207,0
8,17,0.0,0.2,16.45,10.33,8.0,137543.4,68158.75,6.0,7.0,1.4801586,-0.40558213,1.225356,-1.7104282,-1.5750303,-0.8066337,-1.7273129,-1.357722,0
8,18,0.0,0.3,14.1,8.15,15.0,46354.17,46046.78,2.0,5.0,6.5857797,-1.9768142,1.927034,-0.6741518,1.3580813,-2.318666,-2.3106112,-5.001249,0
8,19,1.0,-0.1,16.38,6.98,0.0,0.0,0.0,0.0,0.0,-0.008890923,0.0004082322,0.05214803,0.00811024,0.039215133,0.06205325,-0.02439091,-0.040662616,0
6,1,0.0,0.2,18.87,11.2,286.0,74560.37,28438.32,119.0,53.0,0.7078305,0.12739058,-0.3911176,0.15509334,-2.7174554,-1.5459418,-2.125738,0.010379666,0
6,2,0.0,-0.3,24.1,16.3,36.0,24106.729,25361.455,30.0,9.0,2.4655383,-0.31482694,-0.17801954,-0.8357928,-3.4267185,-1.3957831,0.31167322,-1.4310346,0
6,3,0.0,0.1,23.5,16.12,186.0,59402.297,21736.8,92.0,21.0,0.88481796,-0.47055674,-0.42255637,0.541391,-1.8181373,-2.3376684,-2.2954626,-0.2825271,0
6,4,0.0,-0.1,20.02,11.0,213.0,101281.66,34144.543,90.0,22.0,1.8676564,-0.57087755,-0.8268461,-1.9792149,-1.3195193,-0.49191794,-2.0005722,-1.2426443,0
6,5,0.0,0.1,24.02,18.4,109.0,54569.984,43085.74,73.0,18.0,2.0846436,0.22227696,1.0219029,-0.32110438,-1.5542724,-3.094236,-0.9408973,-1.6209549,0
6,6,0.0,0.2,17.53,13.4,249.0,68148.89,54018.61,93.0,29.0,1.7312322,0.6378086,2.2514195,-0.4103266,-1.1205146,-2.3951375,-1.5431948,-0.27062336,0
6,7,0.0,0.3,22.5,24.6,110.0,54270.023,34563.883,66.0,19.0,3.2400043,-0.5921731,0.16832836,-2.1237504,-1.2135476,-1.7604442,-0.9895286,0.33831015,0
6,8,0.0,-0.2,19.5,11.98,10.0,5384.5786,2595.6843,10.0,7.0,2.672791,-0.038730644,-0.97727144,-0.89318097,-2.2228727,-1.6506895,0.18070818,-1.7845902,0
6,9,0.0,-0.2,15.93,8.35,53.0,24514.613,13229.16,38.0,5.0,2.2662942,2.3133729,3.6900682,2.2184877,-4.125379,-4.3211565,-3.4298935,0.8188575,0
6,10,0.0,0.2,14.5,7.33,72.0,28785.854,24967.166,39.0,37.0,2.1582363,0.27409527,-0.7001432,-0.2938783,-0.2200124,-2.240301,-1.3500782,-0.44940454,0
6,11,1.0,-0.2,11.5,7.1,0.0,0.0,0.0,0.0,0.0,0.0071714744,0.021559477,-0.028490141,0.003330484,0.01662647,-0.0448085,-0.038938582,-0.027405363,0
6,12,0.0,0.2,21.3,11.93,160.0,41264.086,13944.176,73.0,33.0,1.5944453,0.6834074,0.5101115,-1.0808678,-0.8044021,-1.6703856,-1.8101318,0.19912994,0
6,13,0.0,-0.4,18.03,12.57,5.0,1948.468,1341.7363,4.0,4.0,4.735946,-2.2837157,0.90759426,-1.4763541,-0.10237381,-3.3004618,-2.0392745,-1.8398082,0
6,14,0.0,-0.1,17.32,10.1,305.0,128644.11,173328.6,96.0,232.0,1.167993,1.6505563,-0.54172957,0.44244334,-0.35166702,0.043514468,-1.1653963,-0.497519,0
6,15,1.0,0.3,18.18,13.28,0.0,0.0,0.0,0.0,0.0,-0.032538988,0.0061998367,0.027416743,0.030054182,0.018179543,-0.0034077913,0.052889198,-0.036485985,1
6,16,1.0,-0.2,13.5,6.65,0.0,0.0,0.0,0.0,0.0,-0.00016035512,-0.04674551,-0.03502579,-0.028491769,0.01838138,-0.05253903,-0.017866388,-0.025471207,0
6,17,0.0,0.3,16.45,10.33,8.0,137543.4,68158.75,6.0,7.0,1.4801586,-0.40558213,1.225356,-1.7104282,-1.5750303,-0.8066337,-1.7273129,-1.357722,0
6,18,0.0,0.2,14.1,8.15,15.0,46354.17,46046.78,2.0,5.0,6.5857797,-1.9768142,1.927034,-0.6741518,1.3580813,-2.318666,-2.3106112,-5.001249,0
7,1,0.0,0.3,18.87,11.2,192.0,52414.996,19495.316,92.0,28.0,0.69329023,0.13465557,-0.38194913,0.12712626,-2.726703,-1.5943753,-2.1417203,-0.009407682,1
7,2,0.0,-0.3,24.1,16.3,36.0,24106.729,25361.455,30.0,9.0,2.4655383,-0.31482694,-0.17801954,-0.8357928,-3.4267185,-1.3957831,0.31167322,-1.4310346,0
